"$dat_kawase┄┅‗20190423000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190424000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190425000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190426000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190427000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190428000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190429000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190430000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190501000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190502000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190503000000","為替推移","111","ref"
"$dat_kawase┄┅‗20190504000000","為替推移","111.61","ref"
"$dat_kawase┄┅‗20190505000000","為替推移","111.61","ref"
"$dat_kawase┄┅‗20190506000000","為替推移","111.36","ref"
"$dat_kawase┄┅‗20190507000000","為替推移","110.76","ref"
"$dat_kawase┄┅‗20190508000000","為替推移","110.64","ref"
"$dat_kawase┄┅‗20190509000000","為替推移","109.97","ref"
"$dat_kawase┄┅‗20190510000000","為替推移","109.92","ref"
"$dat_kawase┄┅‗20190511000000","為替推移","109.71","ref"
"$dat_kawase┄┅‗20190512000000","為替推移","109.71","ref"
"$dat_kawase┄┅‗20190513000000","為替推移","109.71","ref"
"$dat_kawase┄┅‗20190514000000","為替推移","109.74","ref"
"$dat_kawase┄┅‗20190515000000","為替推移","109.64","ref"
"$dat_kawase┄┅‗20190516000000","為替推移","109.67","ref"
"$dat_kawase┄┅‗20190517000000","為替推移","109.45","ref"
"$dat_kawase┄┅‗20190518000000","為替推移","109.62","ref"
"$dat_kawase┄┅‗20190519000000","為替推移","109.62","ref"
"$dat_kawase┄┅‗20190520000000","為替推移","109.62","ref"
"$dat_kawase┄┅‗20190521000000","為替推移","110.14","ref"
"$dat_kawase┄┅‗20190522000000","為替推移","110.15","ref"
"$dat_kawase┄┅‗20190523000000","為替推移","110.41","ref"
"$dat_kawase┄┅‗20190524000000","為替推移","110.28","ref"
"$dat_kawase┄┅‗20190525000000","為替推移","109.61","ref"
"$dat_kawase┄┅‗20190526000000","為替推移","109.61","ref"
"$dat_kawase┄┅‗20190527000000","為替推移","109.61","ref"
"$dat_kawase┄┅‗20190528000000","為替推移","109.5","ref"
"$dat_kawase┄┅‗20190529000000","為替推移","109.52","ref"
"$dat_kawase┄┅‗20190530000000","為替推移","109.27","ref"
"$dat_kawase┄┅‗20190531000000","為替推移","109.71","ref"
"$dat_kawase┄┅‗20190601000000","為替推移","108.92","ref"
"$dat_kawase┄┅‗20190602000000","為替推移","108.92","ref"
"$dat_kawase┄┅‗20190603000000","為替推移","108.92","ref"
"$dat_kawase┄┅‗20190604000000","為替推移","108.35","ref"
"$dat_kawase┄┅‗20190605000000","為替推移","107.92","ref"
"$dat_kawase┄┅‗20190606000000","為替推移","108.05","ref"
"$dat_kawase┄┅‗20190607000000","為替推移","108.12","ref"
"$dat_kawase┄┅‗20190608000000","為替推移","108.41","ref"
"$dat_kawase┄┅‗20190609000000","為替推移","108.41","ref"
"$dat_kawase┄┅‗20190610000000","為替推移","108.41","ref"
"$dat_kawase┄┅‗20190611000000","為替推移","108.63","ref"
"$dat_kawase┄┅‗20190612000000","為替推移","108.59","ref"
"$dat_kawase┄┅‗20190613000000","為替推移","108.39","ref"
"$dat_kawase┄┅‗20190614000000","為替推移","108.29","ref"
"$dat_kawase┄┅‗20190615000000","為替推移","108.32","ref"
"$dat_kawase┄┅‗20190616000000","為替推移","108.32","ref"
"$dat_kawase┄┅‗20190617000000","為替推移","108.32","ref"
"$dat_kawase┄┅‗20190618000000","為替推移","108.58","ref"
"$dat_kawase┄┅‗20190619000000","為替推移","108.25","ref"
"$dat_kawase┄┅‗20190620000000","為替推移","108.24","ref"
"$dat_kawase┄┅‗20190621000000","為替推移","107.53","ref"
"$dat_kawase┄┅‗20190622000000","為替推移","107.25","ref"
"$dat_kawase┄┅‗20190623000000","為替推移","107.25","ref"
"$dat_kawase┄┅‗20190624000000","為替推移","107.25","ref"
"$dat_kawase┄┅‗20190625000000","為替推移","107.47","ref"
"$dat_kawase┄┅‗20190626000000","為替推移","106.96","ref"
"$dat_kawase┄┅‗20190627000000","為替推移","107.45","ref"
"$dat_kawase┄┅‗20190628000000","為替推移","108.05","ref"
"$dat_kawase┄┅‗20190629000000","為替推移","107.71","ref"
"$dat_kawase┄┅‗20190630000000","為替推移","107.71","ref"
"$dat_kawase┄┅‗20190701000000","為替推移","107.71","ref"
"$dat_kawase┄┅‗20190702000000","為替推移","108.35","ref"
"$dat_kawase┄┅‗20190703000000","為替推移","108.34","ref"
"$dat_kawase┄┅‗20190704000000","為替推移","107.68","ref"
"$dat_kawase┄┅‗20190705000000","為替推移","107.8","ref"
"$dat_kawase┄┅‗20190706000000","為替推移","107.91","ref"
"$dat_kawase┄┅‗20190707000000","為替推移","107.91","ref"
"$dat_kawase┄┅‗20190708000000","為替推移","107.91","ref"
"$dat_kawase┄┅‗20190709000000","為替推移","108.29","ref"
"$dat_kawase┄┅‗20190710000000","為替推移","108.75","ref"
"$dat_kawase┄┅‗20190711000000","為替推移","108.86","ref"
"$dat_kawase┄┅‗20190712000000","為替推移","107.98","ref"
"$dat_kawase┄┅‗20190713000000","為替推移","108.33","ref"
"$dat_kawase┄┅‗20190714000000","為替推移","107.89","ref"
"$dat_kawase┄┅‗20190715000000","為替推移","107.89","ref"
"$dat_kawase┄┅‗20190716000000","為替推移","107.88","ref"
